Airline,CarrierDelayCount,NasDelayCount,WeatherDelayCount,LateCraftDelayCount,SecurityDelayCount,TotalDelayCount
AA,70050,70030,63868,68092,63218,335258
AS,13112,13642,12644,13065,12562,65025
B6,21550,20141,17077,20447,16974,96189
DL,65154,65611,61481,64212,60480,316938
EV,38771,38989,35801,38474,35595,187630
F9,6566,6702,6155,6530,6121,32074
HA,6223,5793,5841,5970,5778,29605
NK,9569,10356,7896,9173,7878,44872
OO,41420,43674,38525,43402,38144,205165
UA,37407,36729,34645,36360,34193,179334
VX,4662,4765,4313,4729,4187,22656
WN,98349,96157,90510,99161,90114,474291
